period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
12,1775088549.9754224,1775088579.9754224,46,3,0,6,0,0,6,46,20,26,0.2,0.0,85.73333333333333,0.0,0.0,0.0,0.0,0.0,77247,5,0,0.0,100.0,0,0.0,0,0,0,0.0352897047996521,0.11884880065917969,12,34
13,1775088579.9754224,1775088609.9754224,51,2,1,14,0,0,14,51,19,32,0.4666666666666667,3664.0666666666666,177.86666666666667,21.426788568496704,21.426788568496704,21.426788568496704,21.426788568496704,0.9499126383226558,83964,4,0,46.719523668289185,97.06166517809503,5504,0.0,0,0,0,0.036195152684261926,0.35013508796691895,2,49
14,1775088609.9754224,1775088639.9754224,9,11,20,64,18,18,46,9,4,5,2.1333333333333333,57837.2,843.2666666666667,0.6590523242950439,0.5759972333908081,1.3944100737571719,1.6983762621879572,1.0,83964,0,0,182.73082041740417,69.54486326376596,0,93.40947675704957,32,32,0,0.0006286664442582564,0.010686635971069336,0,9
15,1775088639.9754224,1775088669.9754224,0,11,0,9,0,0,9,0,0,0,0.3,0.0,171.53333333333333,0.0,0.0,0.0,0.0,0.0,83964,0,0,0.0,100.0,0,0.0,40,40,0,0.0,0.0,0,0
16,1775088669.9754224,1775088699.9754224,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83964,0,0,0.0,100.0,0,0.0,49,49,0,0.0,0.0,0,0
17,1775088699.9754224,1775088729.9754224,51,0,0,0,0,0,0,51,51,0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,0.0,98136,0,0,0.0,100.0,0,0.0,0,0,0,71.41096537720924,90.52387809753418,29,22
18,1775088729.9754224,1775088759.9754224,51,0,3,15,0,0,15,51,15,36,0.5,9385.133333333333,226.9,28.732406854629517,28.400829315185547,29.928291344642638,30.064065747261047,0.6828103683492497,98168,0,0,117.93154430389404,92.29205592785006,89280,0.0,0,0,0,0.00014292399088541667,0.0005824565887451172,4,47
19,1775088759.9754224,1775088789.9754224,6,16,33,77,30,30,47,6,2,4,2.566666666666667,99429.36666666667,712.4,0.8127342462539673,0.6780558824539185,1.7825578927993773,1.813268084526062,1.0,98168,0,0,353.0153286457062,46.51282899307482,0,91.87265753746033,27,27,0,0.0009073615074157715,0.00938558578491211,0,6
20,1775088789.9754224,1775088819.9754224,1,16,2,8,2,2,6,1,1,0,0.26666666666666666,10420.666666666666,258.3333333333333,1.0007253885269165,1.0007253885269165,1.0153834462165832,1.0166863846778869,1.0,98168,0,0,23.499132871627808,95.39232688791611,0,89.99274611473083,32,32,0,0.00010323524475097656,0.00012421607971191406,0,1
21,1775088819.9754224,1775088849.9754224,0,1,0,1,0,0,1,0,0,0,0.03333333333333333,0.0,7.5,0.0,0.0,0.0,0.0,0.0,98168,0,0,0.0,100.0,0,0.0,48,48,0,0.0,0.0,0,0
22,1775088849.9754224,1775088879.9754224,49,0,3,3,3,3,0,49,49,0,0.1,8984.033333333333,95.8,4.32124384244283,5.605062961578369,6.014007782936096,6.050358433723449,0.963895486935867,100085,0,0,39.00381660461426,97.34667914254325,9728,56.7875615755717,0,0,0,61.96311581593294,90.48637914657593,5,44
23,1775088879.9754224,1775088909.9754224,53,1,2,17,0,0,17,53,21,32,0.5666666666666667,7473.4,246.6,7.461378335952759,7.461378335952759,7.636304712295532,7.651853723526001,0.9942889777270132,106242,5,0,56.50205945968628,96.51221855187121,1280,25.386216640472416,0,0,0,0.014422473453340075,0.08507537841796875,12,41
24,1775088909.9754224,1775088939.9754224,52,5,8,31,0,0,31,52,30,22,1.0333333333333334,26817.533333333333,282.7,13.557207882404327,14.34690797328949,19.09613230228424,20.034700779914854,0.9932351770791882,112148,3,0,289.2566854953766,83.08440435699552,5440,0.0,0,0,0,0.016793274879455568,0.26110148429870605,7,45
25,1775088939.9754224,1775088969.9754224,49,6,9,39,6,6,33,49,30,19,1.3,39949.63333333333,391.1666666666667,7.392519640922546,8.701670169830322,9.833162534236907,10.135199782848359,0.8916074576633367,114118,0,0,227.40526151657104,86.21786293838963,129856,26.074803590774536,0,0,0,0.010279430283440484,0.09303069114685059,4,45
26,1775088969.9754224,1775088999.9754224,45,9,4,29,3,3,26,45,22,23,0.9666666666666667,15640.7,335.3333333333333,10.746398985385895,9.303751826286316,14.383164441585539,15.085275466442107,0.9979533360622186,116893,0,0,86.36143708229065,94.66904709368576,960,0.0,0,0,0,0.002755298614501953,0.019140958786010742,1,44
27,1775088999.9754224,1775089029.9754224,3,22,15,57,14,14,43,3,1,2,1.9,52638.666666666664,689.6666666666666,1.0148091952006022,0.7752237319946289,2.4385810375213577,4.717924795150754,1.0,116893,0,0,135.9074158668518,81.87901121775309,0,89.85190804799397,29,29,0,0.006022151311238607,0.08745074272155762,0,3
