period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
15,1775096678.6312208,1775096708.6312208,51,9,1,17,0,0,17,51,17,34,0.5666666666666667,2645.5666666666666,181.8,1.424213171005249,1.424213171005249,1.424213171005249,1.424213171005249,1.0,98223,3,0,29.409457683563232,98.36614123980205,0,85.75786828994751,0,0,0,0.0275876802556655,0.24218535423278809,2,49
16,1775096708.6312208,1775096738.6312208,57,7,0,21,0,0,21,57,27,30,0.7,0.0,222.03333333333333,0.0,0.0,0.0,0.0,0.0,107527,4,0,0.0,100.0,0,0.0,0,0,0,0.0419076990198206,0.2202625274658203,7,50
17,1775096738.6312208,1775096768.6312208,65,3,0,19,0,0,19,65,27,38,0.6333333333333333,0.0,191.76666666666668,0.0,0.0,0.0,0.0,0.0,116518,5,0,0.0,100.0,0,0.0,0,0,0,0.060517213962696215,0.3641037940979004,22,43
18,1775096768.6312208,1775096798.6312208,67,7,2,24,1,1,23,67,25,42,0.8,7748.766666666666,188.86666666666667,32.60440135002136,32.60440135002136,35.88758461475372,36.179423127174374,1.0,127096,6,0,77.13046193122864,96.52565486796267,0,0.0,0,0,0,0.036568944270794206,0.3116114139556885,24,43
19,1775096798.6312208,1775096828.6312208,56,10,2,20,0,0,20,56,10,46,0.6666666666666666,7361.433333333333,214.2,34.0065279006958,34.0065279006958,36.97873306274414,37.24292907714844,0.998840579710145,127096,0,0,105.29253482818604,94.68219521069767,256,0.0,8,8,0,0.007313156127929687,0.06955766677856445,10,46
20,1775096828.6312208,1775096858.6312208,18,16,19,58,9,9,49,18,10,8,1.9333333333333333,59863.46666666667,771.1,7.88645853494343,5.940480709075928,27.658233928680414,29.48864751815796,1.0,127096,0,0,333.4452829360962,67.30928598665724,0,21.1354146505657,40,40,0,0.0001484218396638569,0.0005002021789550781,0,18
21,1775096858.6312208,1775096888.6312208,0,17,3,21,3,3,18,0,0,0,0.7,9167.733333333334,389.3,0.5290565490722656,0.5411624908447266,0.5796983242034912,0.5831237316131592,1.0,127096,0,0,44.86453676223755,91.2030320074044,0,94.70943450927734,56,56,0,0.00017913182576497397,0.00025582313537597656,0,0
22,1775096888.6312208,1775096918.6312208,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127096,0,0,0.0,100.0,0,0.0,70,70,0,0.0,0.0,0,0
23,1775096918.6312208,1775096948.6312208,72,0,0,0,0,0,0,72,72,0,0.0,0.0,51.833333333333336,0.0,0.0,0.0,0.0,0.0,139745,0,0,0.0,100.0,0,0.0,0,0,0,71.7857263382167,120.5152838230133,36,36
24,1775096948.6312208,1775096978.6312208,76,4,4,21,0,0,21,76,26,50,0.7,18631.166666666668,275.6333333333333,20.99388152360916,19.08087730407715,27.086222314834593,28.153620080947874,0.5660787906550618,147702,7,0,148.07734870910645,93.8301104704539,242496,0.0,0,0,0,0.047110566726097695,0.5110692977905273,31,45
