period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
11,1775083383.8770206,1775083413.8770206,62,3,1,17,0,0,17,62,30,32,0.5666666666666667,2652.133333333333,211.5,14.98866868019104,14.98866868019104,14.98866868019104,14.98866868019104,0.9766693483507642,105220,6,0,42.09243559837341,97.84141355905777,1856,0.0,0,0,0,0.0352106253306071,0.2652573585510254,18,44
12,1775083413.8770206,1775083443.8770206,58,6,5,29,0,0,29,58,26,32,0.9666666666666667,14748.833333333334,286.43333333333334,12.188320684432984,11.550224781036377,16.141339540481567,16.87910180091858,0.7126320358848213,108487,0,0,162.8004491329193,91.52080994099379,127104,0.0,0,0,0,0.00804283068730281,0.06469988822937012,15,43
13,1775083443.8770206,1775083473.8770206,13,16,30,69,17,17,52,13,6,7,2.3,98678.46666666666,771.1333333333333,8.272651232779026,6.444031000137329,22.124561405181883,24.045068142414095,0.9687081008606894,108487,0,0,626.9388031959534,27.938068598166275,92608,17.27348767220974,34,34,0,0.0007916844409445058,0.015080928802490234,0,13
14,1775083473.8770206,1775083503.8770206,0,18,1,14,1,1,13,0,0,0,0.4666666666666667,3314.0333333333333,445.1666666666667,0.5589654445648193,0.5589654445648193,0.5589654445648193,0.5589654445648193,1.0,108487,0,0,17.3629891872406,96.78463163199248,0,94.4103455543518,44,44,0,0.0018258094787597656,0.0018258094787597656,0,0
15,1775083503.8770206,1775083533.8770206,59,3,16,16,16,16,0,59,59,0,0.5333333333333333,51313.9,246.83333333333334,3.0217584371566772,2.9840269088745117,5.079462170600891,5.441910576820374,0.9723885562208916,114972,0,0,172.30260634422302,90.73641901375144,42496,69.78241562843323,0,0,0,31.598364795049033,63.78680992126465,16,43
16,1775083533.8770206,1775083563.8770206,53,10,17,47,11,11,36,53,30,23,1.5666666666666667,59654.53333333333,383.8333333333333,9.422929946114035,10.577823400497437,13.642861032485962,13.9741153049469,0.9249508138079056,118664,0,0,356.30205607414246,81.14803936115649,134272,5.77070053885965,0,0,0,0.020197472921231897,0.10146594047546387,8,45
17,1775083563.8770206,1775083593.8770206,51,11,10,39,6,6,33,51,31,20,1.3,34081.9,485.2,7.2881389314478096,5.37311863899231,11.540206789970398,11.675255370140075,0.9390106449592986,120923,0,0,189.58043313026428,89.80750359514708,62336,27.118610685521904,0,0,0,0.008294285954655829,0.09765505790710449,8,43
18,1775083593.8770206,1775083623.8770206,50,12,10,38,7,7,31,50,30,20,1.2666666666666666,32516.1,433.73333333333335,5.968441224098205,4.590156316757202,11.124410367012015,13.992806572914125,0.8669685633654919,121414,0,0,183.33577275276184,90.14323802404506,129728,40.315587759017944,0,0,0,0.014337610554050756,0.1259016990661621,0,50
19,1775083623.8770206,1775083653.8770206,45,15,19,53,19,19,34,45,29,16,1.7666666666666666,76564.96666666666,588.4666666666667,3.5980650924500965,2.6422343254089355,7.007572889328003,7.351291608810425,0.9355333203266535,122184,0,0,359.2455506324768,80.0419138537513,148032,64.01934907549904,0,0,0,0.12015685439109802,3.0257647037506104,1,44
20,1775083653.8770206,1775083683.8770206,49,11,16,47,17,17,30,49,34,15,1.5666666666666667,52317.9,469.0,2.031798084576925,1.874226689338684,3.411322319507595,5.481232206821437,0.9209774804177546,123846,0,0,246.5071234703064,86.3051598072052,123968,79.68201915423074,0,0,0,0.015192190806070963,0.10059213638305664,5,44
